Slopes for N scaling:
Configuration | Slope | R^2 | Points
--------------------------------------------------
D_IN=20, L=2, M=10 | 0.852 | 0.993 | 13
D_IN=20, L=12, M=10 | 0.943 | 0.999 | 11
D_IN=50, L=4, M=10 | 0.898 | 0.997 | 10
D_IN=20, L=8, M=20 | 0.927 | 0.998 | 10
D_IN=20, L=2, M=30 | 0.798 | 0.995 | 9
D_IN=50, L=10, M=10 | 0.928 | 0.998 | 9
D_IN=100, L=8, M=10 | 0.897 | 0.999 | 8
D_IN=20, L=26, M=10 | 0.886 | 0.999 | 8
D_IN=50, L=18, M=10 | 0.901 | 0.999 | 8
D_IN=50, L=12, M=20 | 0.902 | 1.000 | 8
D_IN=50, L=6, M=20 | 0.882 | 0.999 | 8
D_IN=20, L=22, M=20 | 1.032 | 0.951 | 8
D_IN=50, L=4, M=30 | 0.857 | 0.999 | 7
D_IN=100, L=18, M=10 | 0.864 | 0.999 | 7
D_IN=200, L=10, M=10 | 0.889 | 1.000 | 7
D_IN=20, L=6, M=40 | 0.869 | 0.998 | 7
D_IN=20, L=18, M=30 | 0.853 | 0.976 | 7
D_IN=50, L=16, M=20 | 0.889 | 0.998 | 7
D_IN=50, L=20, M=20 | 0.889 | 0.999 | 7
D_IN=20, L=42, M=10 | 0.883 | 0.999 | 7
D_IN=100, L=12, M=20 | 0.906 | 1.000 | 7
D_IN=20, L=16, M=30 | 0.872 | 0.990 | 7
D_IN=200, L=4, M=10 | 0.869 | 0.999 | 7
D_IN=100, L=32, M=10 | 0.878 | 0.999 | 6
D_IN=20, L=46, M=10 | 0.871 | 0.999 | 6
D_IN=20, L=48, M=10 | 0.861 | 1.000 | 6
D_IN=20, L=38, M=20 | 0.912 | 0.963 | 6
D_IN=200, L=2, M=30 | 0.759 | 0.998 | 6
D_IN=20, L=2, M=60 | 0.777 | 0.996 | 6
D_IN=100, L=6, M=30 | 0.877 | 1.000 | 6
D_IN=1000, L=2, M=10 | 0.762 | 0.998 | 6
D_IN=500, L=8, M=10 | 0.881 | 0.999 | 6
D_IN=20, L=8, M=50 | 0.884 | 0.998 | 6
D_IN=200, L=14, M=10 | 0.875 | 0.999 | 6
D_IN=20, L=16, M=40 | 0.837 | 0.996 | 6
D_IN=100, L=20, M=20 | 0.882 | 0.999 | 6
D_IN=50, L=38, M=10 | 0.867 | 1.000 | 6
D_IN=50, L=20, M=30 | 0.891 | 1.000 | 6
D_IN=50, L=14, M=30 | 0.915 | 1.000 | 6
D_IN=50, L=30, M=20 | 0.875 | 0.999 | 6
D_IN=100, L=36, M=10 | 0.875 | 0.999 | 5
D_IN=500, L=2, M=30 | 0.744 | 0.997 | 5
D_IN=1000, L=12, M=10 | 0.876 | 1.000 | 5
D_IN=50, L=40, M=20 | 0.857 | 0.998 | 5
D_IN=100, L=2, M=50 | 0.747 | 0.997 | 5
D_IN=200, L=6, M=30 | 0.867 | 1.000 | 5
D_IN=20, L=12, M=60 | 0.921 | 0.994 | 5
D_IN=100, L=34, M=10 | 0.866 | 1.000 | 5
D_IN=100, L=40, M=10 | 0.863 | 0.999 | 5
D_IN=1000, L=10, M=10 | 0.873 | 0.999 | 5
D_IN=100, L=18, M=30 | 0.835 | 1.000 | 5
D_IN=100, L=14, M=30 | 0.874 | 0.999 | 5
D_IN=20, L=42, M=30 | 0.844 | 1.000 | 5
D_IN=200, L=32, M=10 | 0.866 | 0.999 | 5
D_IN=20, L=30, M=40 | 0.859 | 0.999 | 5
D_IN=20, L=38, M=30 | 0.836 | 0.991 | 5
D_IN=20, L=2, M=70 | 0.737 | 0.997 | 5
D_IN=100, L=10, M=40 | 0.875 | 1.000 | 5
D_IN=50, L=10, M=50 | 0.849 | 0.999 | 5
D_IN=100, L=32, M=20 | 0.835 | 0.999 | 5
D_IN=20, L=58, M=10 | 0.858 | 0.999 | 5
D_IN=50, L=22, M=40 | 0.855 | 0.992 | 5
D_IN=20, L=24, M=50 | 0.838 | 0.990 | 4
D_IN=500, L=24, M=10 | 0.871 | 0.998 | 4
D_IN=200, L=2, M=50 | 0.726 | 0.999 | 4
D_IN=100, L=8, M=50 | 0.850 | 0.999 | 4
D_IN=500, L=6, M=30 | 0.854 | 0.999 | 4
D_IN=50, L=48, M=20 | 0.841 | 1.000 | 4
D_IN=200, L=18, M=30 | 0.859 | 1.000 | 4
D_IN=500, L=14, M=20 | 0.869 | 1.000 | 4
D_IN=50, L=22, M=50 | 0.854 | 0.999 | 4
D_IN=20, L=10, M=70 | 0.907 | 0.998 | 4
D_IN=50, L=42, M=30 | 0.821 | 1.000 | 4
D_IN=50, L=70, M=10 | 0.842 | 0.999 | 4
D_IN=20, L=90, M=10 | 0.839 | 0.999 | 4
D_IN=2000, L=12, M=10 | 0.863 | 1.000 | 4
D_IN=50, L=52, M=20 | 0.863 | 0.999 | 4
D_IN=2000, L=4, M=10 | 0.832 | 0.999 | 4
D_IN=50, L=2, M=200 | 0.787 | 0.995 | 4
D_IN=100, L=50, M=10 | 0.847 | 0.999 | 4
D_IN=20, L=56, M=20 | 0.832 | 1.000 | 4
D_IN=100, L=22, M=40 | 0.851 | 0.991 | 4
D_IN=50, L=32, M=40 | 0.877 | 0.994 | 4
D_IN=2000, L=6, M=10 | 0.853 | 0.999 | 4
D_IN=100, L=14, M=40 | 0.856 | 0.999 | 4
D_IN=100, L=26, M=30 | 0.854 | 1.000 | 4
D_IN=500, L=16, M=20 | 0.865 | 1.000 | 4
D_IN=20, L=54, M=20 | 1.406 | 0.927 | 4
D_IN=500, L=26, M=10 | 0.857 | 1.000 | 4
D_IN=100, L=36, M=20 | 0.850 | 0.999 | 4
D_IN=100, L=40, M=20 | 0.855 | 0.999 | 4
D_IN=50, L=8, M=60 | 0.879 | 0.999 | 4
D_IN=1000, L=20, M=10 | 0.860 | 1.000 | 4
D_IN=20, L=44, M=30 | 0.834 | 0.996 | 4
D_IN=50, L=8, M=100 | 0.904 | 0.999 | 4
