Slopes for L scaling:
Configuration | Slope | R^2 | Points
--------------------------------------------------
N=8, D_IN=20, M=10 | 1.027 | 0.957 | 53
N=16, D_IN=20, M=10 | 1.026 | 0.991 | 41
N=8, D_IN=100, M=20 | 1.021 | 0.996 | 37
N=8, D_IN=50, M=30 | 1.035 | 0.995 | 37
N=8, D_IN=100, M=30 | 1.031 | 0.995 | 32
N=10, D_IN=50, M=30 | 1.036 | 0.992 | 32
N=25, D_IN=50, M=10 | 1.075 | 0.969 | 31
N=10, D_IN=100, M=30 | 1.047 | 0.993 | 27
N=10, D_IN=500, M=10 | 1.047 | 0.993 | 27
N=8, D_IN=200, M=30 | 1.061 | 0.986 | 27
N=40, D_IN=20, M=10 | 1.074 | 0.920 | 26
N=25, D_IN=100, M=10 | 1.071 | 0.989 | 26
N=10, D_IN=20, M=60 | 1.080 | 0.986 | 22
N=8, D_IN=1000, M=20 | 1.061 | 0.993 | 22
N=32, D_IN=100, M=10 | 1.100 | 0.988 | 21
N=16, D_IN=200, M=20 | 1.082 | 0.989 | 21
N=32, D_IN=20, M=30 | 1.164 | 0.970 | 21
N=10, D_IN=500, M=30 | 1.091 | 0.991 | 17
N=10, D_IN=2000, M=10 | 1.093 | 0.992 | 17
N=8, D_IN=20, M=80 | 1.099 | 0.992 | 17
N=32, D_IN=200, M=10 | 1.132 | 0.986 | 16
N=16, D_IN=50, M=50 | 1.123 | 0.989 | 16
N=16, D_IN=1000, M=10 | 1.113 | 0.989 | 16
N=16, D_IN=20, M=60 | 1.142 | 0.990 | 16
N=8, D_IN=500, M=50 | 1.129 | 0.992 | 12
N=10, D_IN=20, M=80 | 1.152 | 0.992 | 12
N=8, D_IN=200, M=60 | 1.128 | 0.993 | 12
N=8, D_IN=100, M=70 | 1.132 | 0.993 | 12
N=50, D_IN=100, M=10 | 1.205 | 0.983 | 11
N=25, D_IN=100, M=40 | 1.189 | 0.988 | 11
N=25, D_IN=20, M=60 | 1.178 | 0.985 | 11
N=16, D_IN=2000, M=10 | 1.172 | 0.990 | 11
N=25, D_IN=500, M=20 | 1.190 | 0.988 | 11
N=8, D_IN=50, M=200 | 1.158 | 0.993 | 9
N=8, D_IN=20, M=500 | 1.182 | 0.993 | 9
N=32, D_IN=20, M=200 | 1.248 | 0.983 | 9
N=16, D_IN=20, M=100 | 1.240 | 0.991 | 9
N=16, D_IN=20, M=200 | 1.207 | 0.991 | 9
N=8, D_IN=100, M=500 | 1.167 | 0.993 | 9
N=10, D_IN=5000, M=20 | 1.222 | 0.993 | 7
N=8, D_IN=1000, M=50 | 1.205 | 0.994 | 7
N=10, D_IN=2000, M=30 | 1.222 | 0.993 | 7
N=10, D_IN=500, M=50 | 1.224 | 0.993 | 7
N=16, D_IN=50, M=70 | 1.283 | 0.990 | 6
N=16, D_IN=500, M=40 | 1.288 | 0.992 | 6
N=40, D_IN=200, M=20 | 1.339 | 0.989 | 6
N=32, D_IN=50, M=50 | 1.318 | 0.987 | 6
N=16, D_IN=200, M=50 | 1.286 | 0.992 | 6
N=100, D_IN=20, M=10 | 1.407 | 0.991 | 6
N=32, D_IN=200, M=30 | 1.329 | 0.990 | 6
N=32, D_IN=100, M=40 | 1.326 | 0.989 | 6
N=64, D_IN=20, M=30 | 1.383 | 0.986 | 6
N=64, D_IN=50, M=100 | 1.475 | 0.992 | 4
N=128, D_IN=20, M=20 | 1.526 | 0.994 | 4
